SectionName,SectionOrder,PhaseID,ExerciseName,PRType,PRValue,PRUnit,PRDate,PreviousBest,PreviousBestDate,SetDetails,Notes,Col_Category,Col_Description,Col_Confidence,Col_Status,Col_Evidence,Col_WeekStart,Col_TotalSets,Col_PullSets,Col_PushSets,Col_LegSets,Col_BicepSets,Col_TricepSets,Col_CoreSets,Col_CarrySets,Col_CardioSets,Col_SessionCount,Col_AvgSetsPerWeek,Col_ProgramDay,Col_WorkoutName,Col_ExType,Col_PrescSets,Col_PrescRepMin,Col_PrescRepMax,Col_WasPerformed,Col_ActualSets,Col_ActualAvgReps,Col_SetCompliance,Col_RepInRange
Compliance,4,4,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,4,10,12,TRUE,12,10.5,100,In Range
Compliance,4,4,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,10,12,TRUE,9,11.1,100,In Range
Compliance,4,4,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Capacity,1,,,TRUE,5,,166.7,
Compliance,4,4,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,12,15,TRUE,9,14.7,100,In Range
Compliance,4,4,Single-Arm Neutral Grip Cable Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,3,10,10,TRUE,10,9.9,111.1,Below
Compliance,4,4,Dumbbell Lateral Raise,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Working,3,12,15,TRUE,9,12.3,100,In Range
Compliance,4,4,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Capacity,1,,,TRUE,4,,133.3,
Compliance,4,4,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Working,3,10,12,TRUE,9,10.8,100,In Range
Compliance,4,4,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Working,4,10,12,TRUE,15,8.1,125,Below
Compliance,4,4,Single Arm Cable Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Working,3,10,12,TRUE,10,12.3,111.1,Above
Compliance,4,4,Smith Machine Bench Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Strength),Working,4,8,10,TRUE,12,7,100,Below
Compliance,4,4,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength),Capacity,1,,,TRUE,3,,100,
Compliance,4,4,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength),Working,3,,,TRUE,9,,100,
Compliance,4,4,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength),Working,3,8,10,TRUE,9,8.6,100,In Range
Compliance,4,4,Face Pull,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength),Working,3,12,15,TRUE,9,20,100,Above
Compliance,4,4,Dumbbell Romanian Deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength),Working,4,6,8,TRUE,12,7.6,100,In Range
Compliance,4,4,Chest Supported DB Row (Spider),,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,4,8,10,TRUE,12,8.5,100,In Range
Compliance,4,5,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Capacity,1,,,TRUE,7,,175,
Compliance,4,5,Face Pull,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,3,15,20,TRUE,18,19.4,100,In Range
Compliance,4,5,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,3,8,10,TRUE,17,8.4,94.4,In Range
Compliance,4,5,Suitcase Holds,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,3,,,TRUE,18,,100,
Compliance,4,5,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,12,15,TRUE,18,14.1,100,In Range
Compliance,4,5,Chest Supported DB Row (Spider),,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,4,10,12,TRUE,24,7.8,100,Below
Compliance,4,5,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,10,12,TRUE,15,11.1,100,In Range
Compliance,4,5,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,8,10,TRUE,20,8.9,111.1,In Range
Compliance,4,5,Dumbbell Lateral Raise,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,12,15,TRUE,18,14.4,100,In Range
Compliance,4,5,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,,,TRUE,18,,100,
Compliance,4,5,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Capacity,1,,,TRUE,10,,200,
Compliance,4,5,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,4,10,12,TRUE,24,10.2,100,In Range
Compliance,4,5,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,3,,,TRUE,18,,100,
Compliance,4,5,Single-Arm Neutral Grip Cable Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull with Stability Bias,Working,3,10,12,TRUE,18,11.3,100,In Range
Compliance,4,5,Dumbbell Lateral Raise,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,3,12,15,TRUE,19,13,105.6,In Range
Compliance,4,5,Dumbbell Romanian Deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,4,6,8,TRUE,24,8,100,In Range
Compliance,4,5,Bulgarian Split Squat,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,3,8,8,TRUE,18,8,100,In Range
Compliance,4,5,Single-Arm Neutral Grip Cable Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,3,10,10,TRUE,18,10.2,100,Above
Compliance,4,5,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,3,,,TRUE,18,,100,
Compliance,4,5,Side Plank,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,3,,,TRUE,15,,100,
Compliance,4,5,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Capacity,1,,,TRUE,10,,200,
Compliance,4,5,Chest Supported DB Row (Spider),,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Pull with Hinge Emphasis,Working,4,8,10,TRUE,24,7.8,100,Below
Compliance,4,5,Low-Incline DB Press (15–30°),,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,3,8,10,TRUE,18,10.2,100,Above
Compliance,4,5,Single-Arm DB Balance Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,3,6,8,TRUE,18,7.7,100,In Range
Compliance,4,5,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,4,10,12,TRUE,24,8.5,100,Below
Compliance,4,5,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Capacity,1,,,TRUE,7,,175,
Compliance,4,5,Single-Arm Cable Triceps Extension (Cross-Body),,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,3,10,12,TRUE,4,12,133.3,In Range
Compliance,4,5,DB Neutral Press (slight Rotate To Underhand ),,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps with Shoulder Control,Working,4,6,8,TRUE,24,7.4,100,In Range
Compliance,4,6,Face Pull (w External Rotation),,,,,,,,,,,,,,,,,,,,,,,,,,3,Stability Pull + Capacity,Working,3,12,15,TRUE,17,15.7,113.3,Above
Compliance,4,6,Treadmill Walking,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Capacity,6,,,TRUE,31,,103.3,
Compliance,4,6,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Working,3,,,TRUE,15,,100,
Compliance,4,6,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Working,3,10,10,TRUE,16,8.6,106.7,Below
Compliance,4,6,Standing Single Arm Cable Curl,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Working,3,10,10,TRUE,14,9.5,93.3,Below
Compliance,4,6,Kneeling Single Arm Rope Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Working,3,12,15,TRUE,17,10.1,113.3,Below
Compliance,4,6,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Athletic Capacity,Working,3,12,15,TRUE,15,14.5,100,In Range
Compliance,4,6,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,3,Stability Pull + Capacity,Capacity,1,,,TRUE,4,,100,
Compliance,4,6,Standing One Arm Extended Cable Curls,,,,,,,,,,,,,,,,,,,,,,,,,,3,Stability Pull + Capacity,Working,3,10,12,TRUE,15,11.5,100,In Range
Compliance,4,6,Half-Kneeling Single Arm Cable Row,,,,,,,,,,,,,,,,,,,,,,,,,,3,Stability Pull + Capacity,Working,4,10,12,TRUE,19,11,95,In Range
Compliance,4,6,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,3,Stability Pull + Capacity,Working,4,,,TRUE,20,,100,
Compliance,4,6,Body Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry,Working,3,6,10,TRUE,15,8,100,In Range
Compliance,4,6,Inverted KB Hold,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,2,,,TRUE,8,,80,
Compliance,4,6,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,3,10,15,TRUE,15,11,100,In Range
Compliance,4,6,Cable Lateral Raise (using elbow strap setup),,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,3,12,15,TRUE,15,13.8,100,In Range
Compliance,4,6,Single Arm Cable Press (split stance),,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,3,8,8,TRUE,16,10.8,106.7,Above
Compliance,4,6,Neutral Grip Dumbbell Floor Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,4,6,8,TRUE,22,7.2,110,In Range
Compliance,4,6,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry,Capacity,1,,,TRUE,5,,100,
Compliance,4,6,Anchored Single Arm Dumbbell Curl,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry,Working,3,8,12,TRUE,19,6.8,126.7,Below
Compliance,4,6,Machine Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry,Working,4,6,8,TRUE,22,7.3,110,In Range
Compliance,4,6,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry,Working,5,,,TRUE,25,,100,
Compliance,4,6,Vertical DB Scap extension,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pressing + Triceps,Working,1,20,20,TRUE,8,14.1,200,Below
Compliance,4,7,Endless Rope,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Capacity,3,,,TRUE,4,,66.7,
Compliance,4,7,High Cable Tricep Pushdown,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,3,10,12,TRUE,14,9.6,116.7,Below
Compliance,4,7,Walking Lunges,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,2,10,10,TRUE,8,,100,
Compliance,4,7,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,5,,,TRUE,20,,100,
Compliance,4,7,Plate Pinch,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,3,,,TRUE,12,,100,
Compliance,4,7,Anchored Single Arm Dumbbell Curl,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,3,8,8,TRUE,15,7.1,125,Below
Compliance,4,7,Dead Hang,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,2,,,TRUE,8,,100,
Compliance,4,7,Plate Pinch,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,3,,,TRUE,12,,100,
Compliance,4,7,Anchored Single Arm Dumbbell Curl,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,4,8,8,TRUE,16,7,100,Below
Compliance,4,7,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,4,10,12,TRUE,16,10.9,100,In Range
Compliance,4,7,High Cable Tricep Pushdown,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,3,10,12,TRUE,15,9,125,Below
Compliance,4,7,Hammer Curls with Rope and Cable,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,3,10,12,TRUE,12,10.5,100,In Range
Compliance,4,7,Dead Hang,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,2,,,TRUE,8,,100,
Compliance,4,7,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity + Grip,Working,5,,,TRUE,20,,100,
Compliance,4,7,Dumbbell Romanian Deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,3,8,8,TRUE,12,8.6,100,Above
Compliance,4,7,Cable Fly (Standing),,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,2,12,15,TRUE,13,13.3,162.5,In Range
Compliance,4,7,Dead Hang,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,2,,,TRUE,8,,100,
Compliance,4,7,Goblet Squat,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Carry Progression + Arm Support,Working,3,10,10,TRUE,12,9.9,100,Below
Compliance,4,7,Machine Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,4,6,8,TRUE,12,6,100,In Range
Compliance,4,7,Body Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,3,8,8,TRUE,12,7.8,100,Below
Compliance,4,7,Anchored Single Arm Dumbbell Curl,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,3,8,8,TRUE,16,6.2,133.3,Below
Compliance,4,7,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,4,10,12,TRUE,16,10.6,100,In Range
Compliance,4,7,Plate Pinch,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,3,,,TRUE,12,,100,
Compliance,4,7,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,5,,,TRUE,20,,100,
Compliance,4,7,Neutral Grip Dumbbell Floor Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,4,6,8,TRUE,16,6.9,100,In Range
Compliance,4,7,Machine Chest Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,3,8,10,TRUE,16,9.6,133.3,In Range
Compliance,4,7,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,4,10,12,TRUE,16,9.8,100,Below
Compliance,4,7,High Cable Tricep Pushdown,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,3,10,12,TRUE,14,8.6,116.7,Below
Compliance,4,7,Dead Hang,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Carry + Arm Specialization,Working,2,,,TRUE,8,,100,
Compliance,4,7,Plate Pinch,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Press + Triceps Priority,Working,3,,,TRUE,12,,100,
Compliance,4,8,Dumbbell Romanian Deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Working,3,8,10,TRUE,12,9.3,100,In Range
Compliance,4,8,Bulgarian Split Squat,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Working,3,8,8,TRUE,13,8,108.3,In Range
Compliance,4,8,Barbell Standing Calf Raise,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Working,3,12,15,TRUE,13,14.5,108.3,In Range
Compliance,4,8,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Working,4,,,TRUE,16,,100,
Compliance,4,8,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,3,8,10,TRUE,12,9.9,100,In Range
Compliance,4,8,Alternate Seated DB Curl,,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,3,8,10,TRUE,13,9.8,108.3,In Range
Compliance,4,8,Single Arm Rope Curl (extended Arm Position ),,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,3,10,12,TRUE,12,10.5,100,In Range
Compliance,4,8,High Cable Tricep Pushdown,,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,3,8,10,TRUE,12,9.5,100,In Range
Compliance,4,8,Face Pull (w External Rotation),,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,3,15,15,TRUE,12,14.6,100,Below
Compliance,4,8,Goblet Squat,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Working,4,8,10,TRUE,16,9.5,100,In Range
Compliance,4,8,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,3,Lower Body + Unilateral Strength,Capacity,1,,,TRUE,16,,400,
Compliance,4,8,Endless Rope,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Capacity,6,,,TRUE,24,,100,
Compliance,4,8,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Capacity,1,,,TRUE,2,,100,
Compliance,4,8,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,3,10,12,TRUE,12,8.2,100,Below
Compliance,4,8,Seated Neutral Grip DB Overhead Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,3,10,10,TRUE,12,10.4,100,Above
Compliance,4,8,Cable High To Mid Fly,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,3,12,15,TRUE,14,10,116.7,Below
Compliance,4,8,Machine Chest Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,3,8,12,TRUE,13,9.2,108.3,In Range
Compliance,4,8,Neutral Grip Dumbbell Floor Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,4,6,10,TRUE,16,8.1,100,In Range
Compliance,4,8,Face Pull,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Working,3,15,15,TRUE,12,14.8,100,Below
Compliance,4,8,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Working,3,10,12,TRUE,12,9.7,100,Below
Compliance,4,8,Single-Arm Neutral Grip Cable Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Working,3,10,12,TRUE,12,11.3,100,In Range
Compliance,4,8,Machine Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Working,4,8,10,TRUE,16,8.4,100,In Range
Compliance,4,8,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Heavy Pull + Grip Strength,Working,5,,,TRUE,17,,85,
Compliance,4,8,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Working,4,,,TRUE,16,,100,
Compliance,4,8,High Cable Tricep Pushdown,,,,,,,,,,,,,,,,,,,,,,,,,,2,Heavy Push + Shoulder Reintegration,Working,2,12,15,TRUE,14,8.3,175,Below
Compliance,4,8,Endless Rope,,,,,,,,,,,,,,,,,,,,,,,,,,4,Upper Hypertrophy + Capacity,Capacity,6,,,TRUE,18,,100,
